state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
WI,1598748093296,JACKSON COUNTY JAIL,Inmate Debit,false,5054762200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748093296,JACKSON COUNTY JAIL,Traditional Collect,true,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748093296,JACKSON COUNTY JAIL,Traditional Collect,false,5054762200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748093296,JACKSON COUNTY JAIL,Voicemail,true,6082661212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748093296,JACKSON COUNTY JAIL,Voicemail,false,5054762200,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748097185,JEFFERSON COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,6082661212,$0.000,$0.120,$0.120,$0.120,false,null,$0.000
WI,1598748097185,JEFFERSON COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,3172324567,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
WI,1598748097185,JEFFERSON COUNTY SHERIFF'S OFFICE,Direct Bill,true,6082661212,$0.000,$0.120,$0.120,$0.120,false,null,$0.000
WI,1598748097185,JEFFERSON COUNTY SHERIFF'S OFFICE,Direct Bill,false,3172324567,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
WI,1598748097185,JEFFERSON COUNTY SHERIFF'S OFFICE,Inmate Debit,true,6082661212,$0.000,$0.120,$0.120,$0.120,false,null,$0.000
WI,1598748097185,JEFFERSON COUNTY SHERIFF'S OFFICE,Inmate Debit,false,3172324567,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
WI,1598748097185,JEFFERSON COUNTY SHERIFF'S OFFICE,Traditional Collect,true,6082661212,$0.000,$0.120,$0.120,$0.120,false,null,$0.000
