state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,Voicemail,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,AdvancedConnect,true,6025424331,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,AdvancedConnect,false,6512013400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,Direct Bill,true,6025424331,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,Direct Bill,false,6512013400,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,Inmate Debit,true,6025424331,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,Inmate Debit,false,6512013400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,Traditional Collect,true,6025424331,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,Traditional Collect,false,6512013400,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,Voicemail,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737900715,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY,Voicemail,false,6512013400,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
AZ,1598737906550,SANTA CRUZ COUNTY DETENTION CENTER,AdvancedConnect,true,6025424331,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737906550,SANTA CRUZ COUNTY DETENTION CENTER,AdvancedConnect,false,4012222080,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737906550,SANTA CRUZ COUNTY DETENTION CENTER,Direct Bill,true,6025424331,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737906550,SANTA CRUZ COUNTY DETENTION CENTER,Direct Bill,false,4012222080,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737906550,SANTA CRUZ COUNTY DETENTION CENTER,Inmate Debit,true,6025424331,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737906550,SANTA CRUZ COUNTY DETENTION CENTER,Inmate Debit,false,4012222080,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737906550,SANTA CRUZ COUNTY DETENTION CENTER,Traditional Collect,true,6025424331,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737906550,SANTA CRUZ COUNTY DETENTION CENTER,Traditional Collect,false,4012222080,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737906550,SANTA CRUZ COUNTY DETENTION CENTER,Voicemail,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
