state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,Voicemail,true,5173733400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,Voicemail,false,7756845670,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,AdvancedConnect,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,AdvancedConnect,false,5016822345,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,Direct Bill,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,Direct Bill,false,5016822345,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,Inmate Debit,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,Inmate Debit,false,5016822345,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,Traditional Collect,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,Traditional Collect,false,5016822345,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,Voicemail,true,5173733400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MI,1598744391403,BRANCH COUNTY JAIL,Voicemail,false,5016822345,$0.000,$1.500,$0.000,$1.500,false,null,$0.000
MI,1598744395510,CHIPPEWA COUNTY JAIL,AdvancedConnect,true,5173733400,$0.000,$4.740,$0.490,$4.740,false,null,$0.000
MI,1598744395510,CHIPPEWA COUNTY JAIL,AdvancedConnect,false,3038662471,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1598744395510,CHIPPEWA COUNTY JAIL,Direct Bill,true,5173733400,$0.000,$4.740,$0.490,$4.740,false,null,$0.000
MI,1598744395510,CHIPPEWA COUNTY JAIL,Direct Bill,false,3038662471,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
